name,region,description
Birmingham,West Midlands,"Birmingham is a city and metropolitan borough in the West Midlands, England. It is the largest and most populous British city outside London, with a population of 1,101,360 in 2014."
Bristol,South West,"Bristol is a city and county in South West England with a population of 449,300 in 2016. The district has the 10th largest population in England, while the Bristol metropolitan area is the 12th largest in the United Kingdom. The city borders North Somerset and South Gloucestershire, with the cities of Bath and Gloucester to the south-east and north-east, respectively."
Cambridge,East,"Cambridge is a university city and the county town of Cambridgeshire, England, on the River Cam about 50 miles (80 km) north of London. At the United Kingdom Census 2011, its population was 123,867, including 24,488 students."
Durham,North East,"Durham is a historic city and the county town of County Durham in North East England. The city lies on the River Wear, to the west of Sunderland, south of Newcastle upon Tyne and to the north of Darlington. Founded over the final resting place of St Cuthbert, its Norman cathedral became a centre of pilgrimage in medieval England. The cathedral and adjacent 11th-century castle were designated a World Heritage Site by UNESCO in 1986. The castle has been the home of Durham University since 1832. HM Prison Durham is also located close to the city centre."
Exeter,South West,"Exeter is a cathedral city in Devon, England with a population of 127,300. It lies within the county of Devon, of which it is the county town as well as the home of Devon County Council. Currently, the administrative area has the status of a non-metropolitan district and is therefore under the administration of the County Council. The city is on the River Exe about 37 miles (60 km) northeast of Plymouth and 70 miles (110 km) southwest of Bristol."
London,London,"London is the capital and most populous city of England and the United Kingdom. Standing on the River Thames in the south east of the island of Great Britain, London has been a major settlement for two millennia. It was founded by the Romans, who named it Londinium. London's ancient core, the City of London, largely retains its 1.12-square-mile (2.9 km2) medieval boundaries. Since at least the 19th century, London has also referred to the metropolis around this core, historically split between Middlesex, Essex, Surrey, Kent, and Hertfordshire, which today largely makes up Greater London, governed by the Mayor of London and the London Assembly. London is a leading global city in the arts, commerce, education, entertainment, fashion, finance, healthcare, media, professional services, research and development, tourism, and transportation. It is crowned as the world's largest financial centre and has the fifth- or sixth-largest metropolitan area GDP in the world. London is a world cultural capital. It is the world's most-visited city as measured by international arrivals and has the world's largest city airport system measured by passenger traffic. London is the world's leading investment destination, hosting more international retailers and ultra high-net-worth individuals than any other city. London's universities form the largest concentration of higher education institutes in Europe. In 2012, London became the first city to have hosted the modern Summer Olympic Games three times."
Leeds,Yorkshire and The Humber,"Leeds is a city in West Yorkshire, England. Historically in Yorkshire's West Riding, the history of Leeds can be traced to the 5th century when the name referred to a wooded area of the Kingdom of Elmet. The name has been applied to many administrative entities over the centuries. It changed from being the appellation of a small manorial borough in the 13th century, through several incarnations, to being the name attached to the present metropolitan borough. In the 17th and 18th centuries Leeds became a major centre for the production and trading of wool."
Liverpool,North West,"Liverpool is a city in North West England whose estimated population was 478,580 in 2015; its surrounding areas combine to form the fifth largest metropolitan area in the UK, with over 2.24 million people in 2011. The local authority is Liverpool City Council, the most populous local government district within the metropolitan county of Merseyside and the largest within the Liverpool City Region."
Manchester,North West,"Manchester is a city and metropolitan borough in Greater Manchester, England, with a population of 514,414 as of 2013. It lies within the United Kingdom's second-most populous urban area, with a population of 2.55 million. Manchester is fringed by the Cheshire Plain to the south, the Pennines to the north and east and an arc of towns with which it forms a continuous conurbation. The local authority is Manchester City Council."
Newcastle,North East,"Newcastle upon Tyne commonly known as Newcastle, is a city in Tyne and Wear, North East England, 103 miles (166 km) south of Edinburgh and 277 miles (446 km) north of London on the northern bank of the River Tyne, 8.5 mi (13.7 km) from the North Sea. Newcastle is the most populous city in the North East, and forms the core of the Tyneside conurbation, the eighth most populous urban area in the United Kingdom. Newcastle is a member of the English Core Cities Group and is a member of the Eurocities network of European cities. Newcastle was part of the county of Northumberland until 1400, when it became a county of itself, a status it retained until becoming part of Tyne and Wear in 1974. The regional nickname and dialect for people from Newcastle and the surrounding area is Geordie. Newcastle also houses Newcastle University, a member of the Russell Group, as well as Northumbria University."
Nottingham,East Midlands,"Nottingham is a city and unitary authority area in Nottinghamshire, England, located 128 miles (206 km) north of London, in the East Midlands. Nottingham has links to the legend of Robin Hood and to the lace-making, bicycle (notably Raleigh bikes) and tobacco industries. It was granted its city charter in 1897 as part of Queen Victoria's Diamond Jubilee celebrations. Nottingham is a tourist destination; in 2011, visitors spent over £1.5 billion - the thirteenth highest amount in England's 111 statistical territories."
Oxford,South East,"Oxford is a city in the South East region of England and the county town of Oxfordshire. With an estimated 2015 population of 168,270, it is the 52nd largest city in the United Kingdom, and one of the fastest growing and most ethnically diverse. The city is situated 57 miles (92 km) from London, 69 miles (111 km) from Bristol, 65 miles (105 km) from both Southampton and Birmingham and 25 miles (40 km) from Reading. The city is known worldwide as the home of the University of Oxford, the oldest university in the English-speaking world. Buildings in Oxford demonstrate notable examples of every English architectural period since the late Saxon period. Oxford is known as the ""city of dreaming spires"", a term coined by poet Matthew Arnold. Oxford has a broad economic base. Its industries include motor manufacturing, education, publishing and a large number of information technology and science-based businesses, some being academic offshoots."
Sheffield,Yorkshire and The Humber,"Sheffield is a city and metropolitan borough in South Yorkshire, England. Historically part of the West Riding of Yorkshire, its name derives from the River Sheaf, which runs through the city. With some of its southern suburbs annexed from Derbyshire, the city has grown from its largely industrial roots to encompass a wider economic base. The population of the City of Sheffield is 569,700 and it is one of the eight largest regional English cities that make up the Core Cities Group. Sheffield is the third largest English district by population. The metropolitan population of Sheffield is 1,569,000."
Southampton,South East,"Southampton, on the south coast of England, is the largest city in the ceremonial county of Hampshire. It is 75 miles (121 km) south-west of London and 19 miles (31 km) north-west of Portsmouth. Southampton is a major port and the closest city to the New Forest. It lies at the northernmost point of Southampton Water at the confluence of the Rivers Test and Itchen, with the River Hamble joining to the south of the urban area. The city, which is a unitary authority, has an estimated population of 253,651. The city's name is sometimes abbreviated in writing to ""So'ton"" or ""Soton"", and a resident of Southampton is called a Sotonian. Significant employers in the city include the University of Southampton, Southampton Solent University, Southampton Airport, Ordnance Survey, BBC South, the NHS, ABP and Carnival UK. Southampton is noted for its association with the RMS Titanic, the Spitfire and more generally in the World War II narrative as one of the departure points for D-Day, and more recently as the home port of a number of the largest cruise ships in the world. Southampton has a large shopping centre and retail park, Westquay. In 2014, the city council approved a follow-up from the Westquay park, WestQuay Watermark (now known as Westquay South) and construction began in January 2015."
