name,city
Anglia Ruskin University,Cambridge
Aston University,Birmingham
Bath Spa University,
The University of Bath,
University of Bedfordshire,
Birkbeck College,London
Birmingham City University,Birmingham
The University of Birmingham,Birmingham
University College Birmingham,Birmingham
Bishop Grosseteste University,
The University of Bolton,
The Arts University Bournemouth,
Bournemouth University,
The University of Bradford,
The University of Brighton,
The University of Bristol,Bristol
Brunel University London,London
Buckinghamshire New University,
The University of Buckingham,
The University of Cambridge,Cambridge
The Institute of Cancer Research,London
Canterbury Christ Church University,
The University of Central Lancashire,
University of Chester,
The University of Chichester,
"City, University of London",London
Conservatoire for Dance and Drama,London
Courtauld Institute of Art,London
Coventry University,Coventry
Cranfield University,
University for the Creative Arts,
University of Cumbria,
De Montfort University,
University of Derby,
University of Durham,Durham
The University of East Anglia,
The University of East London,London
Edge Hill University,
The University of Essex,
The University of Exeter,Exeter
Falmouth University,
The National Film and Television School,
University of Gloucestershire,
Goldsmiths College,London
The University of Greenwich,London
Guildhall School of Music and Drama,London
Harper Adams University,
University of Hertfordshire,
Heythrop College,London
The University of Huddersfield,
The University of Hull,
"Imperial College of Science, Technology and Medicine",London
Keele University,
The University of Kent,
King's College London,London
Kingston University,London
The University of Lancaster,
Leeds College of Art,Leeds
Leeds Beckett University,Leeds
The University of Leeds,Leeds
Leeds Trinity University,Leeds
The University of Leicester,
The University of Lincoln,
Liverpool Hope University,Liverpool
Liverpool John Moores University,Liverpool
The Liverpool Institute for Performing Arts,Liverpool
The University of Liverpool,Liverpool
Liverpool School of Tropical Medicine,Liverpool
"University of the Arts, London",London
London Business School,London
University of London (Institutes and activities),London
London Metropolitan University,London
London South Bank University,London
London School of Economics and Political Science,London
London School of Hygiene and Tropical Medicine,London
Loughborough University,
The Manchester Metropolitan University,Manchester
The University of Manchester,Manchester
Middlesex University,London
Newcastle University,Newcastle
Newman University,Birmingham
The University of Northampton,
University of Northumbria at Newcastle,Newcastle
Norwich University of the Arts,
University of Nottingham,Nottingham
The Nottingham Trent University,Nottingham
The Open University in England,
Oxford Brookes University,Oxford
The University of Oxford,Oxford
Plymouth College of Art,
University of Plymouth,
The University of Portsmouth,
Queen Mary University of London,London
Ravensbourne,London
The University of Reading,
Roehampton University,London
Rose Bruford College,London
Royal Academy of Music,London
Royal Agricultural University,
Royal College of Art,London
Royal College of Music,London
The Royal Central School of Speech and Drama,London
Royal Holloway and Bedford New College,London
Royal Northern College of Music,Manchester
The Royal Veterinary College,London
"St George's, University of London",London
"St Mary's University, Twickenham",London
The University of Salford,
The School of Oriental and African Studies,London
Sheffield Hallam University,Sheffield
The University of Sheffield,Sheffield
Southampton Solent University,Southampton
The University of Southampton,Southampton
Staffordshire University,
University of St Mark and St John,
University of Suffolk,
The University of Sunderland,
The University of Surrey,
The University of Sussex,
Teesside University,
Trinity Laban Conservatoire of Music and Dance,London
University College London,London
The University of Warwick,Coventry
"University of the West of England, Bristol",Bristol
The University of West London,London
The University of Westminster,London
The University of Winchester,
The University of Wolverhampton,
University of Worcester,
Writtle University College,
York St John University,York
The University of York,York
